,Location Name,Abbreviation
690,Massachusetts,mau
691,New York (State),nyu
692,New York (State),nyu
693,England,enk
694,England,enk
695,Massachusetts,mau
696,Illinois,ilu
697,New York (State),nyu
698,New York (State),nyu
699,New York (State),nyu
700,England,enk
701,England,enk
702,New York (State),nyu
703,North Carolina,ncu
704,New York (State),nyu
705,Illinois,ilu
706,New York (State),nyu
707,England,enk
708,England,enk
709,New York (State),nyu
710,New York (State),nyu
711,New York (State),nyu
712,New York (State),nyu
713,New York (State),nyu
714,England,enk
715,England,enk
716,New York (State),nyu
717,New York (State),nyu
718,New Jersey,nju
719,Germany,gw
720,New York (State),nyu
721,France,fr
722,England,enk
723,New York (State),nyu
724,Sweden,sw
725,New York (State),nyu
726,New York (State),nyu
727,New York (State),nyu
728,New York (State),nyu
729,North Carolina,ncu
730,New York (State),nyu
731,New York (State),nyu
732,Ohio,ohu
733,New York (State),nyu
734,New York (State),nyu
735,New York (State),nyu
736,Illinois,ilu
737,New York (State),nyu
738,New York (State),nyu
739,Wisconsin,wiu
740,England,enk
741,England,enk
742,England,enk
743,Argentina,ag
